0,QUAT,1073707491,-2859155,7574377,2860195
0,ACCEL,512,320,-16720
0,GYRO,-104,274,103
0,COMPASS,9830,-9831,-9831
1,QUAT,1073709821,-4171694,6984362,1593631
1,ACCEL,960,1120,-18032
1,GYRO,-47,-21,-46
1,COMPASS,-63,-15,60
2,QUAT,1073722816,-4684064,2544412,-3522130
2,ACCEL,1008,1848,-17704
2,GYRO,-25,-155,-185
2,COMPASS,-63,-17,57
3,QUAT,1073678072,-4995984,-1997750,-10389527
3,ACCEL,1392,1936,-16712
3,GYRO,-18,-156,-248
3,COMPASS,-60,-18,57
4,QUAT,1073546693,-7178510,-7413895,-17674737
4,ACCEL,1464,1976,-16384
4,GYRO,-85,-187,-263
4,COMPASS,-59,-14,57
5,QUAT,1073390444,-14395228,-4967617,-22851532
5,ACCEL,744,944,-15240
5,GYRO,-265,89,-184
5,COMPASS,-59,-20,60
6,QUAT,1073177960,-20658805,11843633,-25348865
6,ACCEL,-280,376,-15008
6,GYRO,-238,599,-81
6,COMPASS,-57,-19,54
7,QUAT,1072898423,-24914842,23377567,-25319882
7,ACCEL,128,760,-16992
7,GYRO,-163,409,7
7,COMPASS,-60,-19,56
8,QUAT,1072933953,-23966952,23170727,-24919714
8,ACCEL,1160,1600,-18888
8,GYRO,34,-7,15
8,COMPASS,-60,-19,56
9,QUAT,1073102514,-20820892,13849905,-27312097
9,ACCEL,1000,2240,-18960
9,GYRO,123,-331,-91
9,COMPASS,-61,-21,54
10,QUAT,1073098505,-17437788,7507053,-31928610
10,ACCEL,1112,2088,-17440
10,GYRO,123,-218,-169
10,COMPASS,-60,-20,55
11,QUAT,1072970610,-13055751,7034951,-37866298
11,ACCEL,1040,2120,-16056
11,GYRO,152,-5,-213
11,COMPASS,-57,-20,56
12,QUAT,1072793048,-13421009,12225545,-41283254
12,ACCEL,1264,1752,-15536
12,GYRO,-25,192,-121
12,COMPASS,-56,-19,57
13,QUAT,1072709178,-17121120,16229067,-40704149
13,ACCEL,1208,1440,-16024
13,GYRO,-143,142,21
13,COMPASS,-57,-21,57
14,QUAT,1072684585,-19218251,19813675,-38781833
14,ACCEL,1264,1648,-16552
14,GYRO,-86,128,70
14,COMPASS,-57,-21,55
15,QUAT,1072651043,-20160612,22674966,-37644282
15,ACCEL,928,1480,-17160
15,GYRO,-42,102,42
15,COMPASS,-59,-23,55
16,QUAT,1072647326,-19590817,23786254,-37363908
16,ACCEL,632,1984,-17344
16,GYRO,13,40,11
16,COMPASS,-61,-22,54
17,QUAT,1072858040,-14912741,18894429,-36268592
17,ACCEL,824,1784,-17368
17,GYRO,168,-170,40
17,COMPASS,-58,-21,54
18,QUAT,1073080419,-11380041,14601607,-32800927
18,ACCEL,912,1776,-16856
18,GYRO,124,-150,125
18,COMPASS,-59,-21,56
19,QUAT,1073143404,-11927232,16261886,-29613553
19,ACCEL,960,1936,-16304
19,GYRO,-30,60,115
19,COMPASS,-60,-19,53
20,QUAT,1073162812,-12869364,17806863,-27556831
20,ACCEL,1024,1856,-16424
20,GYRO,-43,56,74
20,COMPASS,-60,-18,57
21,QUAT,1073274418,-12423603,15824231,-24456601
21,ACCEL,1024,1544,-16976
21,GYRO,11,-70,111
21,COMPASS,-64,-19,56
22,QUAT,1073289880,-11141775,18079875,-22775184
22,ACCEL,664,1576,-16784
22,GYRO,38,82,62
22,COMPASS,-60,-17,58
23,QUAT,1073405979,-10698955,14708614,-19747447
23,ACCEL,736,1184,-17000
23,GYRO,13,-121,108
23,COMPASS,-61,-18,57
24,QUAT,1073470577,-6745022,15461585,-17252572
24,ACCEL,760,1040,-17064
24,GYRO,137,30,92
24,COMPASS,-60,-17,55
25,QUAT,1073529114,-1876955,14639337,-15452512
25,ACCEL,744,1600,-17128
25,GYRO,168,-26,67
25,COMPASS,-61,-22,58
26,QUAT,1073580699,789080,11578249,-14533867
26,ACCEL,1024,2032,-16992
26,GYRO,88,-106,34
26,COMPASS,-61,-18,57
27,QUAT,1073607059,-635475,12452713,-11569887
27,ACCEL,856,1624,-15984
27,GYRO,-60,33,106
27,COMPASS,-60,-16,58
28,QUAT,1073532240,-4398896,18434464,-9525059
28,ACCEL,336,1328,-15760
28,GYRO,-144,213,72
28,COMPASS,-60,-15,57
29,QUAT,1073452644,-5578852,22193683,-9848555
29,ACCEL,224,968,-16720
29,GYRO,-47,133,-12
29,COMPASS,-63,-16,57
30,QUAT,1073622734,40313,14531540,-6672480
30,ACCEL,416,1016,-17504
30,GYRO,198,-275,117
30,COMPASS,-62,-18,54
31,QUAT,1073724227,5679469,2351041,84058
31,ACCEL,624,1056,-16848
31,GYRO,197,-435,246
31,COMPASS,-63,-16,57
32,QUAT,1073715119,4529870,1239498,5940786
32,ACCEL,248,1472,-15472
32,GYRO,-49,-38,211
32,COMPASS,-60,-18,59
33,QUAT,1073604881,-3386895,14175586,9032872
